Cyanin1_1;
Wavelength (nm);Abs
850.0161743;-0.00025899
849.0639038;-0.000525219
847.9750366;7.77E-06
847.0219116;-0.000167088
845.9320679;-0.000351079
844.9780273;-9.11E-05
844.0236206;-0.000238241
842.932373;1.74E-05
841.9771118;-0.000274925
841.0214233;-0.000125684
840.0653687;-0.000384599
838.972229;-0.000401668
838.0153198;4.97E-06
837.0579834;-0.000145248
835.9634399;-7.87E-05
835.0053101;0.000248084
834.0467529;-0.000178732
832.9507446;-0.000228358
831.991394;3.16E-05
831.0315552;-0.00020828
829.9342041;0.000116632
828.9735718;8.71E-05
828.0125732;-0.000185304
827.0511475;0.000108346
825.9519043;0.000219543
824.9896851;0.000229566
824.0270386;0.00016868
823.0640259;0.000168758
821.9629517;0.000127274
820.9990845;4.90E-05
820.0348511;0.000111298
818.932373;0.000408725
817.9672852;-0.000179301
817.0018311;0.000188051
816.0360107;0.000310199
814.9317017;4.47E-05
813.9650269;0.000931703
812.9979858;0.000161895
812.0305176;-1.09E-06
811.0626831;0.000254171
809.9561768;-0.000162119
808.9875488;4.72E-05
808.0184937;7.13E-05
807.0490723;0.000483871
805.9407349;-0.000222769
804.97052;-0.000172159
803.999939;-0.00014561
803.0289307;-0.000197051
802.0575562;0.000237465
800.9470215;-5.64E-05
799.9748535;0.000501494
799.0022583;-0.00033049
798.0293579;0.000162957
797.0560303;0.00055351
795.9432373;0.000503722
794.9691772;0.000111764
793.9946899;-0.000171435
793.0198364;-0.000139606
792.0445557;0.000464513
791.0689697;5.44E-05
789.9535522;-0.000309382
788.9771118;-7.41E-05
788.0003662;-5.28E-06
787.0231934;7.28E-05
786.0457153;0.000225577
785.0678101;2.73E-05
783.9497681;-0.000410409
782.9710693;0.000308929
781.9920044;0.000258341
781.0126343;-3.45E-05
780.0328369;0.000193023
779.0526733;1.16E-05
777.9320068;-0.000210298
776.9510498;0.000256942
775.9697876;-0.000301208
774.9880981;0.000108605
774.0060425;-2.52E-05
773.0236206;-0.000208901
772.0408325;0.000302738
771.0577393;3.20E-05
769.9336548;-0.000299346
768.9497681;-0.000140228
767.9654541;0.000236714
766.980835;-8.59E-05
765.9958496;-7.27E-05
765.010437;0.000169016
764.0247192;0.000468167
763.0386353;-7.66E-06
762.0521851;-0.000116212
761.0653687;0.000118444
759.9371338;-2.44E-05
758.949585;0.000203175
757.9616699;4.82E-05
756.9733276;-4.19E-05
755.9846802;0.000207733
754.9956665;-0.0001232
754.0063477;-0.000204037
753.0166016;-5.21E-05
752.0265503;8.70E-06
751.0360718;0.000447436
750.0452881;-3.03E-05
749.0541382;-1.62E-05
748.0626831;-0.000156271
746.9290771;-0.000106171
745.9368286;0.000204884
744.9442749;1.51E-05
743.9512939;1.02E-05
742.9580078;-0.000104515
741.9643555;0.000136648
740.9703369;-0.000129048
739.9759521;-0.000275288
738.9812622;0.000268546
737.9862061;0.000210737
736.9908447;6.03E-05
735.9950562;0.00021053
734.9989624;-2.93E-05
734.0025635;-0.0001512
733.0057373;-9.52E-05
732.008606;0.000107362
731.0111084;9.47E-06
730.0133057;-1.00E-05
729.0151367;0.000225059
728.0166016;1.39E-05
727.0177612;0.000201077
726.0185547;0.000183001
725.0189819;0.000141568
724.019104;0.000283777
723.0189209;-9.86E-05
722.0183105;-1.93E-05
721.017395;0.000234694
720.0161743;0.000156794
719.0145874;0.000278208
718.0126343;1.94E-05
717.010376;-5.10E-05
716.0077515;0.000247204
715.0048218;-0.000180957
714.0015259;-5.54E-05
712.9979248;-0.000132723
711.9939575;-9.88E-05
710.9896851;7.70E-05
709.9850464;0.000104618
708.9801025;8.77E-05
707.9747925;0.000193178
706.9691772;-8.91E-05
705.9631958;-0.000171694
704.9569092;-7.30E-06
703.9502563;-0.000100012
702.9432983;-0.000138882
701.9359741;2.20E-05
700.9283447;-3.69E-05
700.0644531;-0.000193273
699.0562134;2.16E-05
698.0476074;-0.000121336
697.0386963;3.39E-05
696.02948;-0.000233222
695.0199585;-0.000234826
694.0100708;-7.19E-05
692.9998169;-0.000240311
691.9893188;-7.17E-05
690.9784546;0.000120645
689.9672241;-0.00019612
688.9556885;0.000146151
687.9438477;-3.76E-05
686.9317017;0.000160549
686.0639038;-0.000310417
685.0510864;-0.000239431
684.0380249;-0.00022308
683.0245972;0.000111609
682.0108643;0.000107207
680.9968262;7.93E-05
679.9824219;-0.000218785
678.9677124;0.000133799
677.9526978;-0.000319574
676.9373779;-9.67E-05
676.0667725;5.83E-05
675.0508423;-8.56E-05
674.0346069;-6.01E-06
673.0180664;-0.000129773
672.0011597;4.43E-05
670.9839478;-0.000199224
669.9664307;-1.55E-06
668.9485474;0.000217548
667.9304199;3.71E-05
667.0574341;-0.000200311
666.0386963;-1.25E-05
665.0196533;0.000171606
664.0003052;-4.30E-05
662.9805908;-3.72E-05
661.9606323;-8.89E-05
660.9403076;9.14E-05
660.0654907;-4.96E-05
659.0446167;-7.45E-05
658.0234375;-2.14E-05
657.0018921;-4.35E-06
655.9801025;0.000183959
654.9579468;0.000176397
653.9355469;0.000191754
653.0588989;0.000150398
652.0358887;1.80E-05
651.0125732;0.000151382
649.9889526;-0.000187788
648.9650269;0.000141826
647.9407959;5.39E-05
647.0626221;3.83E-05
646.0378418;3.82E-05
645.0126953;8.72E-05
643.9873047;0.000202398
642.9616089;4.34E-05
641.9355469;0.000175594
641.0558472;0.000289735
640.0292969;0.00029893
639.0023804;3.77E-05
637.9752197;-3.64E-05
636.9477539;0.000112282
636.0667725;0.000174843
635.0387573;7.18E-05
634.010376;0.000156897
632.9817505;0.000240599
631.9528198;-2.57E-05
631.0706177;-0.000143385
630.0411377;0.000166686
629.0112915;2.23E-05
627.9812012;-4.77E-05
626.9508057;2.23E-06
626.0673828;0.000236662
625.036499;4.11E-05
624.005249;0.000188594
622.9736938;-7.93E-05
621.9418945;-8.88E-05
621.057251;0.00024249
620.0248413;-0.000113728
618.9921875;0.000331467
617.9592896;0.000213171
617.0736694;0.000113577
616.0401611;0.000166764
615.0063477;2.13E-05
613.97229;0.000248007
612.9379272;0.000131624
612.0510864;0.000113266
611.0162354;0.000285979
609.9810181;0.000253627
608.9455566;-4.26E-05
608.0577393;0.000139781
607.0217285;0.000176371
605.9854736;0.00036999
604.9488525;0.000243189
604.0601807;0.000114923
603.0230713;0.000423805
601.9856567;0.00044627
600.947937;0.00041813
600.0582886;0.000450883
599.0200806;0.000552318
597.9816284;0.000553069
596.9428101;0.000772036
596.0522461;0.000778104
595.0129395;0.000803959
593.9733887;0.000622926
592.9335327;0.001060055
592.0419922;0.00100092
591.0015869;0.001064544
589.9609375;0.001220528
589.0687256;0.001410978
588.0275879;0.001622453
586.986145;0.001609202
585.944397;0.001858052
585.0512695;0.001883295
584.0090332;0.002272693
582.9665527;0.002641708
582.0727539;0.002880597
581.0297241;0.002991723
579.9863892;0.00363047
578.9428101;0.003961377
578.0481567;0.004269557
577.0040283;0.004601422
575.9597168;0.005300684
575.0643311;0.005744202
574.0194702;0.006512914
572.9743652;0.007277988
571.9289551;0.007965416
571.0326538;0.00858425
569.9868164;0.00968942
568.9406128;0.010866786
568.0437012;0.01208629
566.9970093;0.013571444
565.9500732;0.014811674
565.0524902;0.016121486
564.0050659;0.018143177
562.9573975;0.020582596
562.0591431;0.022520805
561.0109863;0.024930777
559.9625244;0.027679522
559.0636597;0.029862305
558.0147095;0.033710219
556.9655151;0.037667308
556.065979;0.041038822
555.0162964;0.04548886
553.9663086;0.050121989
553.0661621;0.054129913
552.015686;0.060267936
550.9650269;0.065917812
550.064209;0.07204178
549.0130005;0.079899907
547.9615479;0.087582417
547.0601196;0.094246373
546.0082397;0.102571413
544.9560547;0.113533728
544.0539551;0.122195534
543.0012817;0.13394995
541.9483643;0.144290835
541.0457153;0.151984528
539.9923096;0.165460095
538.9386597;0.180308834
538.0353394;0.19259727
536.9812012;0.204983115
535.9268799;0.217742965
535.0228882;0.228627786
533.9680786;0.242587119
533.0637207;0.255429119
532.0084229;0.267401159
530.9528809;0.279429704
530.0479126;0.287889332
528.9918823;0.296048552
527.9356079;0.304836869
527.0300293;0.3101044
525.9733276;0.314168066
525.0673828;0.316230059
524.0101318;0.31601727
522.9526978;0.314085573
522.0461426;0.310391575
520.9882813;0.3038207
519.9301147;0.29566434
519.0229492;0.288339734
517.9643555;0.278159171
517.0567627;0.26922819
515.9977417;0.257134795
514.9384155;0.245740295
514.0302734;0.236264125
512.97052;0.226677105
512.0619507;0.220108628
511.00177;0.210907146
509.9413452;0.203650683
509.032196;0.197983906
507.9713135;0.193234846
507.0617981;0.190026924
506.0004578;0.187018842
504.9389038;0.184432507
504.0288086;0.183566302
502.9667969;0.183417797
502.0563049;0.183485717
500.993866;0.184502974
499.9311829;0.186097026
499.0201111;0.188515127
497.9570007;0.190911397
497.0455627;0.193413973
495.9819946;0.195911914
495.0701904;0.198304191
494.0061951;0.200508311
492.9419861;0.20211871
492.0296021;0.202846527
490.9649353;0.20325464
490.0521851;0.202500477
488.9870911;0.200921804
488.0739746;0.198137
487.0084534;0.193341166
485.9427185;0.187534839
485.0290527;0.181754753
483.9628601;0.176193804
483.0488281;0.169313893
481.9822388;0.159973234
481.0678406;0.152057111
480.000824;0.143420264
478.9335632;0.135970026
478.0186157;0.130069673
476.9509583;0.121983424
476.0356445;0.115225621
474.9675598;0.109180212
474.0518799;0.104575798
472.9833679;0.099834137
472.0673523;0.096043527
470.9984436;0.091926984
469.9293213;0.088646561
469.0127258;0.086102627
467.9432068;0.083767444
467.0262756;0.082080655
465.9562988;0.080100767
465.039032;0.078489996
463.968689;0.077214539
463.0510559;0.075962149
461.9802856;0.074520171
461.0623169;0.07323277
459.9911499;0.071807653
459.0728149;0.070419505
458.0012512;0.068404399
456.9294434;0.066218816
456.0106201;0.064217605
454.9384155;0.061382007
454.0192261;0.05874972
452.9466248;0.055426326
452.0270996;0.052918464
450.9541321;0.049507495
450.0342407;0.046538897
448.9608765;0.043528639
448.0406494;0.040835869
446.9668884;0.037845146
446.0463562;0.035957064
444.9721985;0.033670161
444.0513;0.031543214
442.9767456;0.029709438
442.055542;0.028076218
440.9805908;0.026461884
440.0590515;0.02539289
438.9837341;0.024020934
438.0618591;0.022843838
436.986145;0.021710821
436.0639343;0.020956399
434.987854;0.020025397
434.0653076;0.019348156
432.9888611;0.01857556
432.065979;0.017742502
430.9891357;0.016773853
430.0659485;0.016104614
428.988739;0.015440859
428.0652161;0.014503472
426.9876099;0.013582715
426.0638123;0.012730407
424.9858093;0.012017146
424.061676;0.011293576
422.9833374;0.010390992
422.0588684;0.009622774
420.9801331;0.008815283
420.0553589;0.008274841
418.9762878;0.007604232
418.051178;0.007241032
416.9717407;0.006693449
416.0463257;0.006175253
414.9665222;0.005704097
414.040802;0.005399537
412.9606018;0.005152082
412.0345764;0.004584234
410.9540405;0.004427298
410.02771;0.004166858
408.9467773;0.00383919
408.0201416;0.00379772
406.9388733;0.003467851
406.0119324;0.003204986
404.9302979;0.003082673
404.0030518;0.003031604
403.0756531;0.002890264
401.9935303;0.00278203
401.0658264;0.002652907
399.9833374;0.002566344
399.0553284;0.002491956
397.9725037;0.002618973
397.04422;0.00240735
395.9610291;0.002602644
395.0324402;0.00258741
393.9488831;0.002696612
393.019989;0.002898343
391.9361267;0.002878694
391.0069275;0.003015287
389.9227295;0.003116853
388.9932251;0.003426156
388.0636292;0.003302945
386.9789124;0.003406223
386.0490112;0.003530558
384.9639282;0.003637309
384.0337524;0.003864418
382.9483643;0.003770667
382.0178833;0.003904301
380.9321289;0.004289398
380.0013733;0.004214323
379.0704651;0.004568878
377.9842529;0.004887803
377.0530701;0.005100219
375.9665222;0.005558318
375.0350647;0.00603916
373.9481812;0.00678502
373.016449;0.007251665
371.9292297;0.008044254
370.9971924;0.008597663
370.065033;0.009332408
368.977356;0.010259164
368.0449219;0.010897417
366.9569397;0.01111428
366.024231;0.011785973
364.9359131;0.01229014
364.0029297;0.012504636
363.0697937;0.012712068
361.9810181;0.013213202
361.0476379;0.012903332
359.9585266;0.012915866
359.0248718;0.01306112
357.9354553;0.013053758
357.0015259;0.013374386
356.0675049;0.013672492
354.9776001;0.014423051
354.0433044;0.015007081
352.953125;0.016280098
352.0185242;0.01683313
350.9280396;0.017986499
349.9931946;0.018975573
